モーター番号,2連対率,勝率,1着,2着,3着,出走回数,優出回数,優勝回数,平均展示タイム,最高タイム（1800m）,逃げ,まくり,差し,まくり差し,抜き,恵まれ
20,76.92,7.46,5,5,0,13,1,1,6.82,"148""7",4,0,1,0,0,0
28,70.00,7.30,3,4,1,10,1,0,6.84,"149""4",2,0,0,0,1,0
56,69.23,7.15,4,5,1,13,0,0,6.86,"148""2",3,1,0,0,0,0
12,64.71,7.53,7,4,2,17,1,0,6.79,"149""0",5,1,0,1,0,0
36,61.54,6.92,4,4,1,13,1,0,6.84,"148""8",2,0,1,0,1,0
59,58.82,6.06,1,9,2,17,0,0,6.85,"150""5",1,0,0,0,0,0
51,57.14,6.29,2,6,0,14,1,0,6.85,"148""8",1,0,0,1,0,0
3,54.55,6.09,3,3,0,11,1,0,6.87,"150""2",2,0,0,1,0,0
10,53.33,6.47,6,2,2,15,1,1,6.76,"149""0",3,1,1,1,0,0
11,52.94,6.88,5,4,4,17,1,0,6.79,"147""5",3,1,0,1,0,0
14,52.94,6.47,6,3,1,17,1,0,6.76,"148""7",2,2,1,1,0,0
58,50.00,5.92,2,4,2,12,0,0,6.87,"149""2",2,0,0,0,0,0
57,47.83,6.17,5,6,5,23,0,0,6.75,"148""9",2,0,1,2,0,0
35,45.45,6.36,4,1,2,11,1,1,6.85,"148""7",2,1,0,1,0,0
55,45.45,6.36,3,2,2,11,2,0,6.85,"149""9",2,0,0,0,1,0
39,43.75,5.56,0,7,3,16,0,0,6.82,"150""4",0,0,0,0,0,0
25,41.67,5.42,3,2,1,12,0,0,6.85,"150""9",1,1,0,1,0,0
7,41.67,4.92,0,5,1,12,1,0,6.86,"150""8",0,0,0,0,0,0
46,41.18,6.24,6,1,3,17,0,0,6.84,"148""0",4,0,1,1,0,0
34,40.00,6.33,4,2,5,15,0,0,6.82,"148""9",4,0,0,0,0,0
61,40.00,5.70,3,1,2,10,1,0,6.82,"151""0",1,0,2,0,0,0
42,37.50,6.38,5,1,3,16,1,0,6.88,"150""2",3,1,1,0,0,0
26,37.50,5.19,3,3,2,16,0,0,6.80,"149""6",1,0,0,1,1,0
62,36.36,5.55,2,2,3,11,0,0,6.83,"150""6",2,0,0,0,0,0
31,35.29,4.94,2,4,3,17,0,0,6.83,"150""1",0,1,0,1,0,0
54,33.33,6.21,3,5,10,24,1,0,6.84,"147""9",1,0,1,0,0,1
6,33.33,5.78,4,2,4,18,0,0,6.84,"149""1",2,1,1,0,0,0
32,33.33,5.67,4,0,2,12,0,0,6.86,"150""9",2,1,0,0,1,0
23,33.33,5.33,2,3,3,15,1,0,6.85,"149""6",1,0,0,0,1,0
8,33.33,5.08,3,1,2,12,0,0,6.87,"149""9",2,0,1,0,0,0
38,33.33,4.67,3,2,0,15,0,0,6.88,"149""9",1,0,1,0,1,0
48,31.82,5.14,5,2,4,22,1,0,6.81,"148""6",3,1,1,0,0,0
4,31.25,4.75,2,3,2,16,0,0,6.89,"149""5",1,0,0,0,1,0
33,30.00,5.75,2,4,6,20,0,0,6.88,"149""8",2,0,0,0,0,0
40,30.00,5.30,1,2,4,10,0,0,6.86,"151""4",1,0,0,0,0,0
27,30.00,4.50,4,2,2,20,0,0,6.82,"149""3",4,0,0,0,0,0
60,29.41,4.94,2,3,4,17,0,0,6.87,"149""6",1,0,0,0,1,0
16,28.57,3.86,1,3,0,14,0,0,6.84,"151""0",1,0,0,0,0,0
37,27.27,4.64,3,3,4,22,0,0,6.85,"148""4",3,0,0,0,0,0
18,26.67,5.33,4,0,4,15,0,0,6.80,"150""2",2,2,0,0,0,0
30,26.67,5.07,2,2,3,15,0,0,6.83,"148""1",2,0,0,0,0,0
2,26.67,4.73,1,3,1,15,0,0,6.84,"150""8",1,0,0,0,0,0
5,26.67,4.47,0,4,2,15,0,0,6.88,"151""1",0,0,0,0,0,0
44,25.00,4.50,1,2,1,12,0,0,6.86,"151""0",1,0,0,0,0,0
50,25.00,4.38,1,1,1,8,0,0,6.89,"150""0",1,0,0,0,0,0
41,25.00,4.00,2,1,1,12,0,0,6.84,"151""2",1,1,0,0,0,0
21,23.53,4.29,3,1,3,17,0,0,6.87,"151""1",2,1,0,0,0,0
24,23.08,4.08,1,2,1,13,0,0,6.85,"150""5",0,0,0,1,0,0
17,22.73,4.59,3,2,4,22,0,0,6.87,"149""4",3,0,0,0,0,0
53,21.05,4.32,0,4,3,19,0,0,6.88,"151""1",0,0,0,0,0,0
43,20.00,4.87,2,1,5,15,0,0,6.86,"149""6",1,1,0,0,0,0
45,18.75,3.00,3,0,0,16,0,0,6.84,"149""5",1,1,0,1,0,0
52,18.18,4.14,3,1,3,22,0,0,6.83,"149""9",1,2,0,0,0,0
9,18.18,4.09,1,1,1,11,0,0,6.90,"152""3",1,0,0,0,0,0
47,17.65,5.29,3,0,5,17,0,0,6.85,"149""0",2,0,1,0,0,0
15,16.67,5.25,0,2,7,12,0,0,6.89,"152""2",0,0,0,0,0,0
22,14.29,3.81,1,2,5,21,0,0,6.89,"149""8",1,0,0,0,0,0
13,13.33,3.87,0,2,3,15,0,0,6.75,"152""4",0,0,0,0,0,0
29,13.33,2.87,1,1,1,15,0,0,6.86,"151""4",1,0,0,0,0,0
19,10.00,2.90,0,1,1,10,0,0,6.89,"152""2",0,0,0,0,0,0
1,6.67,4.60,0,1,5,15,0,0,6.84,"152""0",0,0,0,0,0,0
49,0.00,2.10,0,0,1,20,0,0,6.87,"153""1",0,0,0,0,0,0
